path,category,category_score,canon_match,canon_similarity
RPG_RT/CharSet/FG-GrayCharas.png,a 16-bit pixel art RPG character sprite sheet,0.3148,funnyguyrpg/CharSet/FG-GrayCharas.png,1.0
RPG_RT/CharSet/fg2.png,a 16-bit pixel art RPG character sprite sheet,0.2985,funnyguyrpg/CharSet/fg2.png,1.0
RPG_RT/FaceSet/fgs.png,a 16-bit pixel art RPG character sprite sheet,0.2502,funnyguyrpg/FaceSet/fgs.png,1.0
FG-GrayCharas.psd,a 16-bit pixel art RPG character sprite sheet,0.3148,funnyguyrpg/CharSet/FG-GrayCharas.png,1.0
RPG_RT/CharSet/Destructerator_FunnyGuy7777.png,a 16-bit pixel art RPG character sprite sheet,0.2985,funnyguyrpg/CharSet/fg2.png,0.999
FG-Funny Guys.psd,a 16-bit pixel art RPG character sprite sheet,0.295,funnyguyrpg/CharSet/fg2.png,0.9969
RPG_RT/CharSet/FG-Funny Guys.png,a 16-bit pixel art RPG character sprite sheet,0.2942,funnyguyrpg/CharSet/fg2.png,0.9967
Raw/001_the_funny_guy.png,a crude hand-drawn stick-figure comic strip panel,0.2889,funnyguycomics/static/comics/001_the_funny_guy.png,0.9962
EXPORT.psd,a crude hand-drawn stick-figure comic strip panel,0.2887,funnyguycomics/static/comics/001_the_funny_guy.png,0.9962
Raw/001_the_funny_guy.psd,a crude hand-drawn stick-figure comic strip panel,0.2887,funnyguycomics/static/comics/001_the_funny_guy.png,0.9962
RPG_RT/CharSet/other_fg2.PNG,a 16-bit pixel art RPG character sprite sheet,0.3022,funnyguyrpg/CharSet/fg2.png,0.9554
RPG_RT/CharSet/other_fg.png,a 16-bit pixel art RPG character sprite sheet,0.3063,funnyguyrpg/CharSet/fg2.png,0.9532
RPG_RT/CharSet/DH-Villagers3.png,a 16-bit pixel art RPG character sprite sheet,0.3141,funnyguyrpg/CharSet/FG-GrayCharas.png,0.9157
RPG_RT/CharSet/DH-Villagers2.png,a 16-bit pixel art RPG character sprite sheet,0.3313,funnyguyrpg/CharSet/FG-GrayCharas.png,0.9097
RPG_RT/CharSet/DH-Oracles&deathknights.png,a 16-bit pixel art RPG character sprite sheet,0.3278,funnyguyrpg/CharSet/FG-GrayCharas.png,0.9063
Raw/004_pottyps_disco_club.png,a crude hand-drawn stick-figure comic strip panel,0.3036,funnyguycomics/static/comics/001_the_funny_guy.png,0.9017
Raw/004_pottyps_disco_club.psd,a crude hand-drawn stick-figure comic strip panel,0.303,funnyguycomics/static/comics/001_the_funny_guy.png,0.9008
RPG_RT/CharSet/DH-Villagers1.png,a 16-bit pixel art RPG character sprite sheet,0.3271,funnyguyrpg/CharSet/FG-GrayCharas.png,0.897
Raw/013_crap_man.psd,a crude hand-drawn stick-figure comic strip panel,0.2835,funnyguycomics/static/comics/001_the_funny_guy.png,0.897
Raw/013_crap_man.png,a crude hand-drawn stick-figure comic strip panel,0.2833,funnyguycomics/static/comics/001_the_funny_guy.png,0.8964
Raw/014_dweeb.png,a crude hand-drawn stick-figure comic strip panel,0.2855,funnyguycomics/static/comics/001_the_funny_guy.png,0.8929
Raw/014_dweeb.psd,a crude hand-drawn stick-figure comic strip panel,0.2852,funnyguycomics/static/comics/001_the_funny_guy.png,0.8928
Raw/003_hungry.png,a crude hand-drawn stick-figure comic strip panel,0.296,funnyguycomics/static/comics/001_the_funny_guy.png,0.8926
Raw/003_hungry.psd,a crude hand-drawn stick-figure comic strip panel,0.2954,funnyguycomics/static/comics/001_the_funny_guy.png,0.8918
RPG_RT/CharSet/DH-HighMages.png,a 16-bit pixel art RPG character sprite sheet,0.3274,funnyguyrpg/CharSet/FG-GrayCharas.png,0.8909
fgs.psd,a 16-bit pixel art RPG character sprite sheet,0.2457,funnyguyrpg/FaceSet/fgs.png,0.8909
RPG_RT/CharSet/DH-Kids.png,a 16-bit pixel art RPG character sprite sheet,0.3321,funnyguyrpg/CharSet/FG-GrayCharas.png,0.8895
RPG_RT/CharSet/DH-VillagerPoses.png,a 16-bit pixel art RPG character sprite sheet,0.3294,funnyguyrpg/CharSet/FG-GrayCharas.png,0.8845
Raw/009_employees_only.psd,a crude hand-drawn stick-figure comic strip panel,0.303,funnyguycomics/static/comics/001_the_funny_guy.png,0.8816
Raw/009_employees_only.png,a crude hand-drawn stick-figure comic strip panel,0.3038,funnyguycomics/static/comics/001_the_funny_guy.png,0.8807
RPG_RT/CharSet/DH-Warriors.png,a 16-bit pixel art RPG character sprite sheet,0.3431,funnyguyrpg/CharSet/FG-GrayCharas.png,0.8806
Raw/005_hot_sauce.psd,a crude hand-drawn stick-figure comic strip panel,0.2915,funnyguycomics/static/comics/001_the_funny_guy.png,0.8803
Raw/005_hot_sauce.png,a crude hand-drawn stick-figure comic strip panel,0.2918,funnyguycomics/static/comics/001_the_funny_guy.png,0.879
Raw/006_food_eatin.psd,a crude hand-drawn stick-figure comic strip panel,0.2933,funnyguycomics/static/comics/001_the_funny_guy.png,0.8768
Raw/006_food_eatin.png,a crude hand-drawn stick-figure comic strip panel,0.2934,funnyguycomics/static/comics/001_the_funny_guy.png,0.8759
RPG_RT/CharSet/DH-Thieves.png,a 16-bit pixel art RPG character sprite sheet,0.3349,funnyguyrpg/CharSet/FG-GrayCharas.png,0.8734
Raw/002_foulness.psd,a crude hand-drawn stick-figure comic strip panel,0.2854,funnyguycomics/static/comics/001_the_funny_guy.png,0.8718
Raw/161_christmas_twig.png,a crude hand-drawn stick-figure comic strip panel,0.3216,funnyguycomics/static/comics/001_the_funny_guy.png,0.8709
Raw/017_steves_birthday_party.png,a crude hand-drawn stick-figure comic strip panel,0.3195,funnyguycomics/static/comics/001_the_funny_guy.png,0.8708
Raw/160_people_sports.psd,a crude hand-drawn stick-figure comic strip panel,0.307,funnyguycomics/static/comics/001_the_funny_guy.png,0.8705
Raw/160_people_sports.png,a crude hand-drawn stick-figure comic strip panel,0.3082,funnyguycomics/static/comics/001_the_funny_guy.png,0.87
Raw/161_christmas_twig.psd,a crude hand-drawn stick-figure comic strip panel,0.322,funnyguycomics/static/comics/001_the_funny_guy.png,0.8697
Raw/002_foulness.png,a crude hand-drawn stick-figure comic strip panel,0.2872,funnyguycomics/static/comics/001_the_funny_guy.png,0.8694
Raw/100_the_tower.png,a crude hand-drawn stick-figure comic strip panel,0.3026,funnyguycomics/static/comics/001_the_funny_guy.png,0.8687
Raw/100_the_tower.psd,a crude hand-drawn stick-figure comic strip panel,0.3028,funnyguycomics/static/comics/001_the_funny_guy.png,0.868
Raw/153_cheap_choppers_3.png,a crude hand-drawn stick-figure comic strip panel,0.3135,funnyguycomics/static/comics/001_the_funny_guy.png,0.8648
Raw/153_cheap_choppers_3.psd,a crude hand-drawn stick-figure comic strip panel,0.313,funnyguycomics/static/comics/001_the_funny_guy.png,0.8643
Raw/051_product_testing.png,a crude hand-drawn stick-figure comic strip panel,0.3107,funnyguycomics/static/comics/001_the_funny_guy.png,0.8642
Raw/051_product_testing.psd,a crude hand-drawn stick-figure comic strip panel,0.3104,funnyguycomics/static/comics/001_the_funny_guy.png,0.8611
Raw/279_gibbrsh.psd,a crude hand-drawn stick-figure comic strip panel,0.288,funnyguycomics/static/comics/001_the_funny_guy.png,0.8606
RPG_RT/CharSet/DH-Royalty.png,a 16-bit pixel art RPG character sprite sheet,0.3458,funnyguyrpg/CharSet/FG-GrayCharas.png,0.8603
Raw/240_an_fg_short.png,a crude hand-drawn stick-figure comic strip panel,0.3036,funnyguycomics/static/comics/001_the_funny_guy.png,0.8603
